1	818577	no
2	625070	no
3	868494	no
4	962522	yes
5	478882	yes
6	929703	no
7	747511	yes
8	209474	no
9	150761	no
10	111069	no
11	157381	no
12	968652	yes
13	587790	no
14	926764	yes
15	652435	no
16	264732	no
17	930085	no
18	207418	no
19	196459	no
20	522307	no
21	219928	no
22	584583	no
23	403664	no
24	270734	no
25	546773	no
26	359691	no
27	346269	no
28	776066	no
29	265642	no
30	828829	no
31	812423	yes
32	443901	yes
33	827817	yes
34	467410	no
35	398637	no
36	243706	no
37	200180	no
38	103893	yes
39	849371	no
40	457281	yes
